"Vendor Name","Reference Number","Contract Date","Description of Work","Start Date","End Date","Delivery Date","Contract Value","Comments","Fiscal Year","Quarter"
"CARIBOU COMMUNICATIONS","CP05465","2006-03-31","0494  Translation Services","2006-04-03","2006-06-30","","22,400.00","","2005-2006","4th Quarter"
"Family Services Moncton Inc","ACOA 6211","2006-03-31","0859  Other Business Services not Elsewhere Specified","2006-04-01","2006-06-30","","13,000.00","","2005-2006","4th Quarter"
"Action Personnel of Ottawa-Hull Ltd.","CP05622","2006-04-01","0813  Temporary Help Services","2006-04-05","2006-05-31","","11,849.23","","2006-2007","1st Quarter"
"Action Personnel of Ottawa-Hull Ltd.","CP05624","2006-04-01","0813  Temporary Help Services","2006-04-10","2006-06-23","","13,197.11","","2006-2007","1st Quarter"
"ARI Financial Services","CP06450","2006-04-01","0682  Road Motor Vehicles - Non-military","","","2006-04-01","17,250.00","","2006-2007","1st Quarter"
"ARI Financial Services","CP05566","2006-04-01","0682  Road Motor Vehicles - Non-military","2006-04-01","2007-03-31","","23,000.00","","2006-2007","1st Quarter"
"Bell Canada","CP05558","2006-04-01","0220  Telephone and other voice services (excluding enhanced telecommunications services)","2006-04-01","2007-03-07","","12,840.00","","2006-2007","1st Quarter"
"Canon Canada Inc.","CP05559","2006-04-01","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2006-04-07","2007-03-31","","26,750.00","","2006-2007","1st Quarter"
"Corporate Express","CP05570","2006-04-01","1143  Printed Matter, Including Books, Newspapers, Pictures, Manuscripts and Forms","","","2006-07-17","10,700.00","","2006-2007","1st Quarter"
"EQUIFAX CANADA INC.","CP05644","2006-04-01","0859  Other Business Services not Elsewhere Specified","2006-04-01","2006-06-30","","18,055.00","","2006-2007","1st Quarter"
"Family Service Moncton Inc.","CP05667","2006-04-01","0859  Other Business Services not Elsewhere Specified","2006-04-01","2006-06-30","","13,000.00","","2006-2007","1st Quarter"
"Grand & Toy","CP05571","2006-04-01","1143  Printed Matter, Including Books, Newspapers, Pictures, Manuscripts and Forms","","","2006-07-17","10,700.00","","2006-2007","1st Quarter"
"ALLSTREAM","CP05489","2006-04-03","0472  Information technology consultants","2006-04-12","2006-06-30","","24,725.00","","2006-2007","1st Quarter"
"CEDROM-SNi","CP05468","2006-04-03","0351  Communications Professional Services not Elsewhere Specified","2006-04-07","2007-03-31","","20,261.52","","2006-2007","1st Quarter"
"Corporate Express","CP05490","2006-04-03","1172  Office and Stationers Supplies","","","2007-01-31","21,400.00","","2006-2007","1st Quarter"
"Datarite","CP05491","2006-04-03","1179  Miscellaneous Manufactured Articles","","","2007-02-19","24,610.00","","2006-2007","1st Quarter"
"SKYRIDGE SYSTEMS INC.","CP05488","2006-04-03","0472  Information technology consultants","2006-04-10","2006-06-30","","23,920.00","","2006-2007","1st Quarter"
"Corporate Research Associates Inc.","CP05506","2006-04-04","0341  Communications Research Services","2006-06-06","2007-03-31","","15,525.00","","2006-2007","1st Quarter"
"Marathon Human Resources Consulting Group Ltd.","CP05497","2006-04-04","0499  Other Professional Services not Elsewhere Specified","2006-04-04","2006-06-30","","37,007.00","","2006-2007","1st Quarter"
"SOFTCHOICE CORPORATION","CP05502","2006-04-04","1228  Computer software","","","2006-04-28","207,660.10","","2006-2007","1st Quarter"
"ORACLE CORPORATION CANADA","CP05515","2006-04-05","0670  Computer equipment - hardware and software","2006-05-22","2007-05-21","","56,353.06","","2006-2007","1st Quarter"
"Totem","CP05522","2006-04-06","1172  Office and Stationers Supplies","","","2006-04-06","10,700.00","","2006-2007","1st Quarter"
"Cossette Communications Inc.","CP05463","2006-04-10","0301  Advertising Services","2006-04-11","2006-04-28","","24,380.75","","2006-2007","1st Quarter"
"Grand & Toy Ltd.","CP05613","2006-04-11","1179  Miscellaneous Manufactured Articles","","","2007-02-19","21,400.00","","2006-2007","1st Quarter"
"Priority Personnel Inc.","CP05843","2006-04-18","0813  Temporary Help Services","2006-04-18","2006-07-31","","10,745.60","","2006-2007","1st Quarter"
"M5 MARKETING COMMUNICATIONS","CP05672","2006-04-19","0321  Printing Services","2006-04-21","2006-06-30","","10,062.50","","2006-2007","1st Quarter"
"Compass Communications Inc.","CP05686","2006-04-20","0351  Communications Professional Services not Elsewhere Specified","2006-04-24","2006-06-16","","13,087.00","","2006-2007","1st Quarter"
"THE CONFERENCE BOARD OF CANADA","CP05691","2006-04-21","0859  Other Business Services not Elsewhere Specified","2006-05-01","2007-04-30","","28,925.00","","2006-2007","1st Quarter"
"EDWARDS CONSULTING","CP05761","2006-04-25","0401  Accounting and Audit Services","2006-05-01","2006-06-30","","14,490.00","","2006-2007","1st Quarter"
"HYNES, THERESA","CP05759","2006-04-25","0401  Accounting and Audit Services","2006-05-01","2006-06-30","","16,560.00","","2006-2007","1st Quarter"
"NEXINNOVATIONS INC.","CP05768","2006-04-25","0472  Information technology consultants","2006-05-01","2006-12-31","","67,850.00","","2006-2007","1st Quarter"
"NEXINNOVATIONS INC.","CP05769","2006-04-25","0472  Information technology consultants","2006-05-01","2006-12-31","","68,137.50","","2006-2007","1st Quarter"
"Pinsent Management Consulting Inc.","CP05767","2006-04-25","0401  Accounting and Audit Services","2006-05-01","2006-06-30","","15,525.00","","2006-2007","1st Quarter"
"Pinsent Management Consulting Inc.","CP05766","2006-04-25","0401  Accounting and Audit Services","2006-05-01","2006-06-30","","15,525.00","","2006-2007","1st Quarter"
"THE CONFERENCE BOARD OF CANADA","CP05812","2006-04-27","0859  Other Business Services not Elsewhere Specified","2006-05-01","2007-04-30","","29,458.00","","2006-2007","1st Quarter"
"FORUM FOR INTERNATIONAL TRADE TRAINING (FITT)","CP05835","2006-04-28","0859  Other Business Services not Elsewhere Specified","2006-05-08","2008-05-08","","10,000.00","","2006-2007","1st Quarter"
"THE CONFERENCE BOARD OF CANADA","CP05840","2006-04-28","0859  Other Business Services not Elsewhere Specified","2006-05-15","2007-11-24","","10,000.00","","2006-2007","1st Quarter"
"Wiltshire Consulting Inc.","CP05882","2006-05-02","0499  Other Professional Services not Elsewhere Specified","2006-07-12","2006-08-31","","40,983.50","","2006-2007","1st Quarter"
"Excel Human Resources Inc.","CP05923","2006-05-04","0813  Temporary Help Services","2006-05-11","2006-07-31","","21,025.50","","2006-2007","1st Quarter"
"Adecco Employment Services Ltd.","CP05938","2006-05-05","0813  Temporary Help Services","2006-05-29","2006-08-25","","32,262.51","","2006-2007","1st Quarter"
"Spherion Workforce Architects","CP05991","2006-05-09","0813  Temporary Help Services","2006-05-15","2006-09-01","","10,849.80","","2006-2007","1st Quarter"
"Spherion Workforce Architects","CP05971","2006-05-09","0813  Temporary Help Services","2006-05-10","2006-09-01","","11,623.02","","2006-2007","1st Quarter"
"A.V. Bruce & Associates Inc.","CP06010","2006-05-11","0351  Communications Professional Services not Elsewhere Specified","2006-05-15","2006-08-31","","20,240.00","","2006-2007","1st Quarter"
"Hudson Design Group","CP06065","2006-05-15","0351  Communications Professional Services not Elsewhere Specified","2006-05-23","2006-07-28","","12,265.00","","2006-2007","1st Quarter"
"KELLY SERVICES LTD.","CP06084","2006-05-16","0813  Temporary Help Services","2006-05-29","2006-09-01","","11,425.02","","2006-2007","1st Quarter"
"Manpower Temporary Services","CP06116","2006-05-19","0813  Temporary Help Services","2006-05-29","2006-09-29","","11,668.34","","2006-2007","1st Quarter"
"Action Personnel of Ottawa-Hull Ltd.","CP06124","2006-05-23","0813  Temporary Help Services","2006-05-23","2006-08-31","","18,609.98","","2006-2007","1st Quarter"
"Family Service Moncton Inc","CP06028","2006-05-23","0859  Other Business Services not Elsewhere Specified","2006-07-01","2007-06-30","","45,300.00","","2006-2007","1st Quarter"
"Speakers' Spotlight","CP06118","2006-05-23","0499  Other Professional Services not Elsewhere Specified","2006-05-24","2006-06-19","","10,000.00","","2006-2007","1st Quarter"
"TRM TECHNOLOGIES INC.","CP06125","2006-05-23","0472  Information technology consultants","2006-05-23","2006-09-30","","10,833.75","","2006-2007","1st Quarter"
"TRANSCONTINENTAL MONCTON","CP06148","2006-05-24","0321  Printing Services","2006-05-26","2006-06-30","","11,327.50","","2006-2007","1st Quarter"
"THE CONFERENCE BOARD OF CANADA","CP06094","2006-05-29","0859  Other Business Services not Elsewhere Specified","2006-06-01","2007-05-31","","20,000.00","","2006-2007","1st Quarter"
"Formation Linguistique Excel","CP06204","2006-05-30","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2006-06-12","2006-12-29","","43,920.00","","2006-2007","1st Quarter"
"Hudson Design Group","CP06200","2006-05-30","0351  Communications Professional Services not Elsewhere Specified","2006-05-30","2006-07-28","","10,645.00","","2006-2007","1st Quarter"
"Enterprise Restigouche /Entreprise Restigouche","CP06547","2006-06-01","0511  Rental of Office Buildings","2006-06-01","2008-01-31","","24,940.00","","2006-2007","1st Quarter"
"Entreprise Madawaska/Enterprise Madawaska","CP06553","2006-06-01","0511  Rental of Office Buildings","2006-06-01","2007-03-31","","14,000.00","","2006-2007","1st Quarter"
"Entreprise Péninsule / Enterprise Peninsula","CP06540","2006-06-01","0511  Rental of Office Buildings","2006-06-01","2007-03-31","","16,000.00","","2006-2007","1st Quarter"
"Hickling-Arthurs-Low","CP06243","2006-06-02","0499  Other Professional Services not Elsewhere Specified","2006-06-02","2006-11-03","","100,000.00","","2006-2007","1st Quarter"
"MT&L Public Affairs Limited","CP06263","2006-06-05","0499  Other Professional Services not Elsewhere Specified","2006-06-05","2006-06-23","","10,810.00","","2006-2007","1st Quarter"
"MARGIE DINN/ THE CATERER","CP06288","2006-06-06","0822  Hospitality","2006-06-14","2006-06-14","","14,547.50","","2006-2007","1st Quarter"
"Lionel Roach","CP06304","2006-06-08","0859  Other Business Services not Elsewhere Specified","2006-07-04","2006-10-31","","17,750.00","","2006-2007","1st Quarter"
"TRANSCONTINENTAL MONCTON","CP06246","2006-06-08","0321  Printing Services","2006-06-19","2006-08-25","","15,640.80","","2006-2007","1st Quarter"
"MANPOWER","CP06390","2006-06-16","0813  Temporary Help Services","2006-06-16","2006-09-29","","13,125.00","","2006-2007","1st Quarter"
"HYNES, THERESA","CP06425","2006-06-21","0401  Accounting and Audit Services","2006-07-04","2006-08-31","","15,456.00","","2006-2007","1st Quarter"
"Pinsent Management Consulting Inc.","CP06410","2006-06-21","0401  Accounting and Audit Services","2006-07-04","2006-08-31","","14,490.00","","2006-2007","1st Quarter"
"Pinsent Management Consulting Inc.","CP06413","2006-06-21","0401  Accounting and Audit Services","2006-07-04","2006-08-31","","14,490.00","","2006-2007","1st Quarter"
"EDWARDS CONSULTING","CP06436","2006-06-22","0401  Accounting and Audit Services","2006-07-04","2006-08-31","","13,524.00","","2006-2007","1st Quarter"
"Satisfacts Research Group","CP06429","2006-06-22","0341  Communications Research Services","2006-08-01","2007-02-28","","14,310.00","","2006-2007","1st Quarter"
"BARRY W. SHEPPARD","CP06487","2006-06-29","0401  Accounting and Audit Services","2006-07-17","2006-08-25","","10,350.00","","2006-2007","1st Quarter"
"Do. O Consulting Inc.","CP06483","2006-06-29","0401  Accounting and Audit Services","2006-07-04","2006-08-31","","16,422.00","","2006-2007","1st Quarter"
"Martin, Leanne","CP06481","2006-06-29","0401  Accounting and Audit Services","2006-07-04","2006-08-31","","12,075.00","","2006-2007","1st Quarter"
"Morrissey & Company","CP06485","2006-06-29","0401  Accounting and Audit Services","2006-07-04","2006-08-31","","13,282.50","","2006-2007","1st Quarter"
"Toyota Canada Inc","CP06406","2006-07-05","1261  Road Motor Vehicles","","","2006-10-31","35,478.01","","2006-2007","2nd Quarter"
"XEROX CANADA LTD","CP06446","2006-07-07","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2006-07-31","2011-07-31","","17,715.60","","2006-2007","2nd Quarter"
"GARTNER CANADA CO.","CP06542","2006-07-10","0491  Management Consulting","2006-08-01","2007-07-31","","98,040.00","","2006-2007","2nd Quarter"
"A.V. Bruce & Associates Inc.","CP05762","2006-07-11","0499  Other Professional Services not Elsewhere Specified","2006-08-15","2006-11-03","","17,442.00","","2006-2007","2nd Quarter"
"Jonnick Crew Corporation","CP06578","2006-07-13","0499  Other Professional Services not Elsewhere Specified","2006-08-10","2006-11-30","","16,220.00","","2006-2007","2nd Quarter"
"RICOH CANADA LTD.","CP06594","2006-07-17","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2006-08-01","2011-07-31","","13,201.20","","2006-2007","2nd Quarter"
"Marc LeBlanc","CP06626","2006-07-19","0491  Management Consulting","2006-07-24","2006-12-29","","15,960.00","","2006-2007","2nd Quarter"
"Xwave Solutions Inc","CP05851","2006-07-19","0859  Other Business Services not Elsewhere Specified","2006-07-24","2007-07-23","","59,508.00","","2006-2007","2nd Quarter"
"Dr. Chris Frantsi, Consultant","CP06655","2006-07-24","0499  Other Professional Services not Elsewhere Specified","2006-08-01","2006-11-15","","16,564.00","","2006-2007","2nd Quarter"
"Excel Human Resources Inc.","CP06674","2006-07-26","0813  Temporary Help Services","2006-08-01","2006-09-30","","11,716.32","","2006-2007","2nd Quarter"
"MRC Workplace Health and Safety Consulting Services Ltd.","CP06673","2006-07-26","0499  Other Professional Services not Elsewhere Specified","2006-09-01","2006-10-13","","12,688.20","","2006-2007","2nd Quarter"
"MariNova Consulting Ltd.","CP06685","2006-07-27","0499  Other Professional Services not Elsewhere Specified","2006-08-01","2006-08-31","","24,966.00","","2006-2007","2nd Quarter"
"Knowledge Circle","CP06576","2006-08-02","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2006-08-21","2007-07-31","","11,272.76","","2006-2007","2nd Quarter"
"Losier Consultant Inc.","CP06723","2006-08-03","0499  Other Professional Services not Elsewhere Specified","2006-08-10","2006-11-15","","12,799.00","","2006-2007","2nd Quarter"
"KELLY SERVICES LTD.","CP06774","2006-08-09","0813  Temporary Help Services","2006-09-01","2006-12-22","","12,624.42","","2006-2007","2nd Quarter"
"SHARP ELECTRONICS OF CANADA LTD.","CP06792","2006-08-11","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2006-08-30","2009-08-29","","18,748.90","","2006-2007","2nd Quarter"
"Mr. Donald R. Ridley, PhD","CP06809","2006-08-14","0499  Other Professional Services not Elsewhere Specified","2006-08-14","2006-11-30","","18,680.00","","2006-2007","2nd Quarter"
"EQUIFAX CANADA INC.","CP06852","2006-08-16","0859  Other Business Services not Elsewhere Specified","2006-09-01","2006-12-31","","24,510.00","","2006-2007","2nd Quarter"
"POSTAGE BY PHONE","CP06858","2006-08-17","0212  Postage and Parcel Post","2006-08-17","2006-08-24","","17,100.00","","2006-2007","2nd Quarter"
"NEXINNOVATIONS INC.","CP06869","2006-08-21","0472  Information technology consultants","2006-08-24","2006-11-30","","19,437.00","","2006-2007","2nd Quarter"
"New Brunswick Safety Council","CP06888","2006-08-22","0499  Other Professional Services not Elsewhere Specified","2006-10-16","2006-10-24","","13,500.00","","2006-2007","2nd Quarter"
"MICROAGE TECHNOLOGY SERVICES","CP06892","2006-08-23","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-09-29","13,470.24","","2006-2007","2nd Quarter"
"ALCOCK, RAY","CP06963","2006-08-31","0401  Accounting and Audit Services","2006-09-01","2006-11-30","","20,497.20","","2006-2007","2nd Quarter"
"Do. O Consulting Inc.","CP06954","2006-08-31","0401  Accounting and Audit Services","2006-09-01","2006-11-30","","25,444.80","","2006-2007","2nd Quarter"
"EDWARDS CONSULTING","CP06960","2006-08-31","0401  Accounting and Audit Services","2006-09-01","2006-11-30","","19,790.40","","2006-2007","2nd Quarter"
"HYNES, THERESA","CP06958","2006-08-31","0401  Accounting and Audit Services","2006-09-01","2006-11-30","","23,324.40","","2006-2007","2nd Quarter"
"Leanne P. Philpott","CP06956","2006-08-31","0401  Accounting and Audit Services","2006-09-01","2006-11-30","","19,083.60","","2006-2007","2nd Quarter"
"Pinsent Management Consulting Inc.","CP06962","2006-08-31","0401  Accounting and Audit Services","2006-09-01","2006-11-30","","21,910.80","","2006-2007","2nd Quarter"
"RANDY PURCHASE","CP06959","2006-08-31","0401  Accounting and Audit Services","2006-09-01","2006-11-30","","21,204.00","","2006-2007","2nd Quarter"
"NewsWatch","CP05381","2006-09-01","00    SERVICES","2006-09-01","2007-08-31","","59,682.42","","2006-2007","2nd Quarter"
"BAE Group Limited","CP07013","2006-09-06","0491  Management Consulting","2006-09-06","2006-10-16","","25,000.01","","2006-2007","2nd Quarter"
"Spherion Workforce Architects","CP07003","2006-09-06","0813  Temporary Help Services","2006-09-07","2006-12-29","","11,375.66","","2006-2007","2nd Quarter"
"Louise R. Trudeau - Mind Your Language","CP07026","2006-09-07","0499  Other Professional Services not Elsewhere Specified","2006-09-25","2007-02-15","","10,032.00","","2006-2007","2nd Quarter"
"Universite Sainte Anne Halifax","CP07024","2006-09-07","0499  Other Professional Services not Elsewhere Specified","2006-09-25","2007-02-15","","11,468.40","","2006-2007","2nd Quarter"
"Corporate Research Associates Inc.","CP07116","2006-09-08","0499  Other Professional Services not Elsewhere Specified","2006-09-11","2006-12-31","","17,263.16","","2006-2007","2nd Quarter"
"Gander and Area Chamber of Commerce","CP07028","2006-09-08","0511  Rental of Office Buildings","2006-09-08","2007-07-31","","16,416.00","","2006-2007","2nd Quarter"
"Atlantic Film Festival Association","CP07087","2006-09-14","0499  Other Professional Services not Elsewhere Specified","2006-09-20","2006-10-06","","25,000.00","","2006-2007","2nd Quarter"
"Centre Linguistique du College de Jonquiere","CP07090","2006-09-14","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2006-09-18","2007-01-19","","21,348.40","","2006-2007","2nd Quarter"
"MORRISSEY & COMPANY","CP07086","2006-09-14","0401  Accounting and Audit Services","2006-09-14","2006-11-30","","19,818.90","","2006-2007","2nd Quarter"
"MT&L Public Relations Limited","CP07033","2006-09-15","0351  Communications Professional Services not Elsewhere Specified","2006-09-15","2006-11-01","","19,687.69","","2006-2007","2nd Quarter"
"MICROAGE TECHNOLOGY SERVICES","CP07110","2006-09-18","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-10-06","11,760.74","","2006-2007","2nd Quarter"
"ACADEMIE DE FORMATION LINGUISTIQUE (AFL) INC.","CP07084","2006-09-19","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2006-10-02","2007-02-02","","24,640.00","","2006-2007","2nd Quarter"
"Excel Human Resources Inc.","CP07139","2006-09-20","0813  Temporary Help Services","2006-10-01","2006-12-01","","11,716.32","","2006-2007","2nd Quarter"
"CCMC","CP07160","2006-09-22","0491  Management Consulting","2006-09-22","2006-12-29","","26,459.40","","2006-2007","2nd Quarter"
"AMEC Americas Limited","CP07043","2006-09-27","0499  Other Professional Services not Elsewhere Specified","2006-09-28","2007-03-31","","119,999.99","","2006-2007","2nd Quarter"
"CEDROM-SNi","CP06990","2006-09-27","0351  Communications Professional Services not Elsewhere Specified","2006-10-01","2007-09-30","","12,397.23","","2006-2007","2nd Quarter"
"Compass Communications Inc.","CP07206","2006-09-27","0351  Communications Professional Services not Elsewhere Specified","2006-09-27","2006-12-01","","11,343.00","","2006-2007","2nd Quarter"
"ARI Financial Services","CP07742","2006-10-01","0682  Road Motor Vehicles - Non-military","2006-10-01","2007-03-31","","22,800.00","","2006-2007","3rd Quarter"
"Dalhousie University","CP07432","2006-10-01","0491  Management Consulting","2006-10-01","2007-03-31","","49,597.00","","2006-2007","3rd Quarter"
"Dymaxion Research Limited","CP07257","2006-10-02","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-10-20","30,643.20","","2006-2007","3rd Quarter"
"FOXWISE TECHNOLOGIES INC.","CP07264","2006-10-02","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-10-23","39,953.94","","2006-2007","3rd Quarter"
"PricewaterhouseCoopers LLP","CP06439","2006-10-03","0499  Other Professional Services not Elsewhere Specified","2007-01-15","2007-06-15","","49,973.61","","2006-2007","3rd Quarter"
"Xerox Canada Ltd.","CP07305","2006-10-06","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2006-11-01","2011-10-31","","11,901.60","","2006-2007","3rd Quarter"
"Faculty of Engineering and Applied Science","CP07356","2006-10-13","0499  Other Professional Services not Elsewhere Specified","2006-10-30","2007-09-30","","11,286.00","","2006-2007","3rd Quarter"
"FORD MOTOR CO. OF CANADA LTD.","CP07438","2006-10-16","1261  Road Motor Vehicles","","","2007-03-31","39,535.20","","2006-2007","3rd Quarter"
"Honda Canada","CP07387","2006-10-17","1261  Road Motor Vehicles","","","2007-03-30","28,032.76","","2006-2007","3rd Quarter"
"Eastern Sign-Print","CP07743","2006-10-18","0321  Printing Services","2006-10-23","2006-11-10","","22,252.80","","2006-2007","3rd Quarter"
"INFORMETRICA LIMITED","CP07430","2006-10-20","0859  Other Business Services not Elsewhere Specified","2006-11-01","2007-10-31","","23,320.00","","2006-2007","3rd Quarter"
"International Association of Outsourcing Professionals","CP07420","2006-10-20","0859  Other Business Services not Elsewhere Specified","2006-11-01","2007-02-23","","25,000.00","","2006-2007","3rd Quarter"
"MICROSOFT SERVICES","CP07445","2006-10-23","0491  Management Consulting","2006-11-18","2007-11-17","","141,930.00","","2006-2007","3rd Quarter"
"Centre for Marine CNG Inc.","CP07483","2006-10-25","0491  Management Consulting","2006-11-07","2006-11-09","","24,999.99","","2006-2007","3rd Quarter"
"Pinsent Management Consulting Inc.","CP07510","2006-10-27","0491  Management Consulting","2006-10-27","2007-01-31","","11,400.00","","2006-2007","3rd Quarter"
"SHEPPARD,  BARRY W.","CP07508","2006-10-27","0491  Management Consulting","2006-10-27","2007-02-28","","26,659.13","","2006-2007","3rd Quarter"
"Enterprise Miramichi","CP07873","2006-11-01","0511  Rental of Office Buildings","2006-11-01","2007-10-31","","17,928.00","","2006-2007","3rd Quarter"
"MariNova Consulting Ltd.","ACOA 2006-14","2006-11-10","0492  Research Contracts","2006-11-10","2007-03-31","","40,000.00","","2006-2007","3rd Quarter"
"Conference Board of Canada, The","CP07673","2006-11-14","0859  Other Business Services not Elsewhere Specified","2006-11-25","2007-11-24","","25,000.00","","2006-2007","3rd Quarter"
"CNC Global Limited","CP07122","2006-11-17","0499  Other Professional Services not Elsewhere Specified","2006-12-04","2007-01-31","","21,769.90","","2006-2007","3rd Quarter"
"Marathon Human Resources Consulting Group Ltd.","CP07762","2006-11-21","0491  Management Consulting","2006-12-12","2007-06-29","","34,770.00","","2006-2007","3rd Quarter"
"Morrissey & Company","CP07766","2006-11-22","0491  Management Consulting","2006-11-22","2007-02-28","","13,110.00","","2006-2007","3rd Quarter"
"Groupe Lacasse","CP07794","2006-11-24","1231  Office Furniture and Furnishings, Including Parts","","","2007-01-31","16,775.96","","2006-2007","3rd Quarter"
"Formation Linguistique Excel","CP07804","2006-11-27","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2006-12-04","2007-12-31","","46,060.00","","2006-2007","3rd Quarter"
"Hudson Design Group","CP07809","2006-11-27","0351  Communications Professional Services not Elsewhere Specified","2006-11-28","2006-12-29","","10,807.20","","2006-2007","3rd Quarter"
"MICROAGE TECHNOLOGY SERVICES","CP07806","2006-11-27","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-12-08","30,793.68","","2006-2007","3rd Quarter"
"Dymaxion Research Limited","CP07821","2006-11-28","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-12-08","38,703.00","","2006-2007","3rd Quarter"
"FOXWISE TECHNOLOGIES INC.","CP07822","2006-11-29","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-12-22","39,884.04","","2006-2007","3rd Quarter"
"TELECOM COMPUTER PRODUCTS","CP07823","2006-11-29","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-12-15","23,700.60","","2006-2007","3rd Quarter"
"MARITIME LANGUAGE CENTER INC.","CP07837","2006-11-30","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2007-01-02","2007-03-30","","19,264.00","","2006-2007","3rd Quarter"
"CCL Group Inc","CP07895","2006-12-07","0301  Advertising Services","2007-01-05","2007-03-31","","22,412.40","","2006-2007","3rd Quarter"
"Grant Thorton","CP07900","2006-12-08","0491  Management Consulting","2006-12-08","2007-01-15","","10,773.00","","2006-2007","3rd Quarter"
"Dymaxion Research Limited","CP07911","2006-12-12","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-12-22","33,351.36","","2006-2007","3rd Quarter"
"EAGLESPIRIT MARKETING INC.","CP07910","2006-12-12","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-12-19","23,700.60","","2006-2007","3rd Quarter"
"Gardner Pinfold Consulting Economists Limited","CP08036","2006-12-12","0491  Management Consulting","2006-12-12","2007-03-31","","15,000.12","","2006-2007","3rd Quarter"
"FOXWISE TECHNOLOGIES INC.","CP07917","2006-12-13","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2006-12-27","39,799.68","","2006-2007","3rd Quarter"
"INLINE SYSTEMS","CP07921","2006-12-14","1231  Office Furniture and Furnishings, Including Parts","","","2007-02-23","30,184.76","","2006-2007","3rd Quarter"
"Dymaxion Research Limited","CP07963","2006-12-19","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2007-01-12","17,029.32","","2006-2007","3rd Quarter"
"Excel Human Resources Inc.","CP07965","2006-12-19","0813  Temporary Help Services","2007-01-01","2007-03-02","","11,301.21","","2006-2007","3rd Quarter"
"Groupe Lacasse","CP07954","2006-12-19","1231  Office Furniture and Furnishings, Including Parts","","","2007-02-28","32,335.69","","2006-2007","3rd Quarter"
"MICROAGE TECHNOLOGY SERVICES","CP07955","2006-12-19","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2007-01-05","14,082.43","","2006-2007","3rd Quarter"
"Xwave Solutions Inc.","CP07962","2006-12-19","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2007-01-12","37,449.00","","2006-2007","3rd Quarter"
"IMP GROUP LIMITED","CP07972","2006-12-20","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2007-01-12","37,572.12","","2006-2007","3rd Quarter"
"MICROAGE TECHNOLOGY SERVICES","CP07969","2006-12-20","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2007-01-12","95,807.88","","2006-2007","3rd Quarter"
"COMPART EVENT MANAGEMENT LIMITED","CP07974","2006-12-21","0352  Public Relations Services","2006-12-27","2007-01-31","","33,771.36","","2006-2007","3rd Quarter"
"RICOH CANADA LTD.","CP08014","2006-12-28","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2007-01-05","2012-01-05","","12,996.00","","2006-2007","3rd Quarter"
"Performance Management Network Inc.","CP07984","2007-01-03","0401  Accounting and Audit Services","2007-01-08","2007-01-31","","15,960.00","","2006-2007","4th Quarter"
"DELOITTE & TOUCHE LLP","CP07813","2007-01-05","0859  Other Business Services not Elsewhere Specified","2007-02-08","2007-03-31","","43,434.00","","2006-2007","4th Quarter"
"Grant Thornton LLP","CP07985","2007-01-05","0859  Other Business Services not Elsewhere Specified","2007-01-15","2007-02-16","","18,505.60","","2006-2007","4th Quarter"
"Cossette Atlantic","CP08001","2007-01-08","0301  Advertising Services","2007-01-15","2007-03-30","","28,062.98","","2006-2007","4th Quarter"
"HUMAN RESOURCE SYSTEMS GROUP LTD.","CP07982","2007-01-08","0859  Other Business Services not Elsewhere Specified","2007-02-05","2008-03-31","","79,929.68","","2006-2007","4th Quarter"
"InterVISTAS Consulting Inc.","CP08143","2007-01-09","0499  Other Professional Services not Elsewhere Specified","2007-01-09","2007-03-31","","227,863.20","","2006-2007","4th Quarter"
